x,y
0.0,1803.0
0.0,1797.0
0.0,1497.0
0.0,1491.0
0.0,1281.0
0.0,1269.0
0.0,1263.0
0.0,1257.0
0.0,873.0
0.0,867.0
0.0,861.0
0.0,855.0
0.0,849.0
0.0,843.0
0.0,765.0
0.0,759.0
0.0,753.0
0.0,723.0
0.0,717.0
0.0,711.0
0.0,705.0
0.0,699.0
0.0,693.0
0.0,687.0
0.0,681.0
0.0,675.0
0.0,669.0
0.0,663.0
0.0,657.0
0.0,651.0
0.0,645.0
0.0,639.0
0.0,633.0
0.0,627.0
0.0,621.0
0.0,615.0
0.0,609.0
0.0,603.0
0.0,597.0
0.0,591.0
0.0,585.0
0.0,579.0
0.0,243.0
0.0,237.0
0.0,231.0
0.0,111.0
0.0,105.0
3.0,1236.0
3.0,1230.0
3.0,1224.0
3.0,1218.0
3.0,1212.0
3.0,1206.0
3.0,1200.0
3.0,750.0
3.0,672.0
3.0,666.0
3.0,660.0
3.0,654.0
3.0,648.0
3.0,642.0
3.0,636.0
3.0,630.0
3.0,624.0
3.0,618.0
3.0,612.0
3.0,606.0
3.0,600.0
3.0,594.0
3.0,588.0
3.0,582.0
3.0,576.0
6.0,1497.0
6.0,1491.0
6.0,1281.0
6.0,1275.0
6.0,1191.0
6.0,1185.0
6.0,873.0
6.0,867.0
6.0,861.0
6.0,855.0
6.0,849.0
6.0,843.0
6.0,765.0
6.0,759.0
6.0,753.0
6.0,723.0
6.0,717.0
6.0,711.0
6.0,705.0
6.0,699.0
6.0,687.0
6.0,675.0
6.0,669.0
6.0,663.0
6.0,657.0
6.0,651.0
6.0,645.0
6.0,639.0
6.0,633.0
6.0,627.0
6.0,621.0
6.0,615.0
6.0,609.0
6.0,603.0
6.0,597.0
6.0,591.0
6.0,585.0
6.0,579.0
6.0,573.0
6.0,243.0
6.0,237.0
6.0,231.0
9.0,1242.0
9.0,1236.0
9.0,1230.0
9.0,1224.0
9.0,1218.0
9.0,1212.0
9.0,732.0
9.0,672.0
9.0,666.0
9.0,660.0
9.0,654.0
9.0,648.0
9.0,642.0
9.0,636.0
9.0,630.0
9.0,624.0
9.0,618.0
9.0,612.0
9.0,606.0
9.0,600.0
9.0,594.0
9.0,588.0
9.0,582.0
9.0,576.0
9.0,570.0
12.0,1497.0
12.0,1281.0
12.0,1275.0
12.0,1191.0
12.0,1185.0
12.0,873.0
12.0,867.0
12.0,861.0
12.0,855.0
12.0,849.0
12.0,843.0
12.0,765.0
12.0,759.0
12.0,753.0
12.0,717.0
12.0,711.0
12.0,705.0
12.0,699.0
12.0,675.0
12.0,669.0
12.0,663.0
12.0,657.0
12.0,651.0
12.0,645.0
12.0,627.0
12.0,621.0
12.0,615.0
12.0,609.0
12.0,603.0
12.0,597.0
12.0,591.0
12.0,585.0
12.0,579.0
12.0,573.0
12.0,567.0
12.0,243.0
12.0,237.0
12.0,231.0
15.0,1254.0
15.0,1248.0
15.0,1242.0
15.0,1236.0
15.0,1230.0
15.0,1224.0
15.0,666.0
15.0,660.0
15.0,654.0
15.0,648.0
15.0,642.0
15.0,636.0
15.0,630.0
15.0,624.0
15.0,618.0
15.0,612.0
15.0,606.0
15.0,600.0
15.0,594.0
15.0,588.0
15.0,582.0
15.0,576.0
15.0,570.0
18.0,1497.0
18.0,1491.0
18.0,1281.0
18.0,1191.0
18.0,1185.0
18.0,873.0
18.0,867.0
18.0,861.0
18.0,855.0
18.0,849.0
18.0,843.0
18.0,765.0
18.0,759.0
18.0,753.0
18.0,711.0
18.0,705.0
18.0,699.0
18.0,675.0
18.0,669.0
18.0,663.0
18.0,657.0
18.0,651.0
18.0,645.0
18.0,639.0
18.0,633.0
18.0,627.0
18.0,621.0
18.0,615.0
18.0,609.0
18.0,603.0
18.0,597.0
18.0,591.0
18.0,585.0
18.0,579.0
18.0,573.0
18.0,567.0
18.0,243.0
18.0,237.0
18.0,231.0
21.0,1254.0
21.0,1248.0
21.0,1242.0
21.0,1236.0
21.0,1230.0
21.0,1224.0
21.0,672.0
21.0,666.0
21.0,660.0
21.0,654.0
21.0,648.0
21.0,636.0
21.0,624.0
21.0,618.0
21.0,612.0
21.0,606.0
21.0,600.0
21.0,594.0
21.0,588.0
21.0,582.0
21.0,576.0
24.0,1503.0
24.0,1497.0
24.0,1491.0
24.0,1191.0
24.0,873.0
24.0,867.0
24.0,861.0
24.0,855.0
24.0,849.0
24.0,843.0
24.0,765.0
24.0,759.0
24.0,753.0
24.0,705.0
24.0,699.0
24.0,675.0
24.0,669.0
24.0,663.0
24.0,657.0
24.0,651.0
24.0,645.0
24.0,627.0
24.0,621.0
24.0,615.0
24.0,609.0
24.0,603.0
24.0,597.0
24.0,591.0
24.0,585.0
24.0,579.0
24.0,573.0
24.0,567.0
24.0,237.0
27.0,1242.0
27.0,1236.0
27.0,1230.0
27.0,1224.0
27.0,1218.0
27.0,1194.0
27.0,1188.0
27.0,1182.0
27.0,738.0
27.0,732.0
27.0,672.0
27.0,666.0
27.0,660.0
27.0,654.0
27.0,642.0
27.0,636.0
27.0,624.0
27.0,606.0
27.0,600.0
27.0,594.0
30.0,1497.0
30.0,1491.0
30.0,1191.0
30.0,867.0
30.0,855.0
30.0,849.0
30.0,843.0
30.0,765.0
30.0,759.0
30.0,753.0
30.0,705.0
30.0,699.0
30.0,675.0
30.0,669.0
30.0,663.0
30.0,657.0
30.0,645.0
30.0,633.0
30.0,627.0
30.0,615.0
30.0,609.0
30.0,603.0
30.0,597.0
30.0,591.0
30.0,585.0
30.0,579.0
30.0,573.0
30.0,567.0
30.0,21.0
33.0,1218.0
33.0,1212.0
33.0,1206.0
33.0,1200.0
33.0,1194.0
33.0,1188.0
33.0,1182.0
33.0,744.0
33.0,738.0
33.0,732.0
33.0,726.0
33.0,720.0
33.0,672.0
33.0,666.0
33.0,660.0
33.0,654.0
33.0,648.0
33.0,642.0
33.0,624.0
33.0,618.0
33.0,612.0
33.0,606.0
33.0,600.0
33.0,594.0
33.0,588.0
33.0,582.0
33.0,576.0
33.0,264.0
33.0,258.0
33.0,252.0
33.0,246.0
36.0,1497.0
36.0,1491.0
36.0,1443.0
36.0,1437.0
36.0,855.0
36.0,849.0
36.0,843.0
36.0,705.0
36.0,699.0
36.0,675.0
36.0,669.0
36.0,663.0
36.0,657.0
36.0,651.0
36.0,645.0
36.0,639.0
36.0,633.0
36.0,627.0
36.0,621.0
36.0,615.0
36.0,609.0
36.0,603.0
36.0,597.0
36.0,591.0
36.0,585.0
36.0,579.0
36.0,573.0
36.0,567.0
36.0,21.0
36.0,15.0
39.0,1218.0
39.0,1212.0
39.0,1206.0
39.0,1200.0
39.0,1194.0
39.0,1188.0
39.0,1182.0
39.0,744.0
39.0,738.0
39.0,732.0
39.0,726.0
39.0,720.0
39.0,678.0
39.0,672.0
39.0,666.0
39.0,660.0
39.0,654.0
39.0,648.0
39.0,642.0
39.0,636.0
39.0,630.0
39.0,624.0
39.0,618.0
39.0,612.0
39.0,606.0
39.0,600.0
39.0,594.0
39.0,588.0
39.0,582.0
39.0,576.0
39.0,570.0
39.0,264.0
39.0,258.0
39.0,252.0
39.0,246.0
42.0,1449.0
42.0,1443.0
42.0,1437.0
42.0,1185.0
42.0,903.0
42.0,897.0
42.0,831.0
42.0,825.0
42.0,711.0
42.0,705.0
42.0,699.0
42.0,681.0
42.0,675.0
42.0,669.0
42.0,663.0
42.0,657.0
42.0,651.0
42.0,645.0
42.0,639.0
42.0,633.0
42.0,627.0
42.0,621.0
42.0,615.0
42.0,609.0
42.0,603.0
42.0,597.0
42.0,591.0
42.0,585.0
42.0,579.0
42.0,573.0
42.0,567.0
42.0,27.0
42.0,21.0
42.0,15.0
42.0,9.0
45.0,1212.0
45.0,1206.0
45.0,1200.0
45.0,1194.0
45.0,1188.0
45.0,1182.0
45.0,1038.0
45.0,690.0
45.0,684.0
45.0,678.0
45.0,672.0
45.0,666.0
45.0,660.0
45.0,654.0
45.0,648.0
45.0,642.0
45.0,636.0
45.0,624.0
45.0,618.0
45.0,612.0
45.0,606.0
45.0,600.0
45.0,594.0
45.0,588.0
45.0,582.0
45.0,576.0
45.0,570.0
45.0,288.0
45.0,282.0
45.0,276.0
45.0,270.0
45.0,264.0
45.0,258.0
45.0,252.0
45.0,246.0
45.0,240.0
48.0,1449.0
48.0,1443.0
48.0,1437.0
48.0,909.0
48.0,903.0
48.0,897.0
48.0,837.0
48.0,831.0
48.0,825.0
48.0,699.0
48.0,693.0
48.0,687.0
48.0,681.0
48.0,675.0
48.0,669.0
48.0,663.0
48.0,657.0
48.0,651.0
48.0,645.0
48.0,639.0
48.0,633.0
48.0,627.0
48.0,621.0
48.0,615.0
48.0,609.0
48.0,603.0
48.0,597.0
48.0,591.0
48.0,585.0
48.0,579.0
48.0,27.0
48.0,21.0
48.0,15.0
51.0,1194.0
51.0,1188.0
51.0,1182.0
51.0,1044.0
51.0,1038.0
51.0,1032.0
51.0,1026.0
51.0,1020.0
51.0,1014.0
51.0,690.0
51.0,684.0
51.0,678.0
51.0,672.0
51.0,666.0
51.0,660.0
51.0,654.0
51.0,648.0
51.0,642.0
51.0,636.0
51.0,630.0
51.0,624.0
51.0,618.0
51.0,606.0
51.0,600.0
51.0,594.0
51.0,588.0
51.0,582.0
51.0,426.0
51.0,300.0
51.0,294.0
51.0,288.0
51.0,282.0
51.0,276.0
51.0,270.0
51.0,240.0
51.0,234.0
51.0,228.0
51.0,222.0
54.0,1449.0
54.0,1443.0
54.0,1437.0
54.0,1179.0
54.0,1173.0
54.0,1167.0
54.0,1047.0
54.0,1041.0
54.0,1011.0
54.0,1005.0
54.0,909.0
54.0,903.0
54.0,897.0
54.0,837.0
54.0,831.0
54.0,825.0
54.0,693.0
54.0,687.0
54.0,681.0
54.0,675.0
54.0,669.0
54.0,663.0
54.0,657.0
54.0,651.0
54.0,645.0
54.0,639.0
54.0,633.0
54.0,627.0
54.0,621.0
54.0,615.0
54.0,609.0
54.0,603.0
54.0,597.0
54.0,591.0
54.0,585.0
54.0,3.0
57.0,1194.0
57.0,1188.0
57.0,1182.0
57.0,1050.0
57.0,1044.0
57.0,1038.0
57.0,1032.0
57.0,1026.0
57.0,1020.0
57.0,1014.0
57.0,690.0
57.0,684.0
57.0,678.0
57.0,672.0
57.0,666.0
57.0,660.0
57.0,654.0
57.0,648.0
57.0,642.0
57.0,636.0
57.0,630.0
57.0,624.0
57.0,606.0
57.0,600.0
57.0,594.0
57.0,588.0
57.0,426.0
57.0,300.0
57.0,294.0
57.0,288.0
57.0,282.0
57.0,276.0
57.0,270.0
57.0,240.0
57.0,234.0
57.0,228.0
57.0,222.0
60.0,1437.0
60.0,1179.0
60.0,1173.0
60.0,1167.0
60.0,1047.0
60.0,1041.0
60.0,1017.0
60.0,1011.0
60.0,1005.0
60.0,909.0
60.0,903.0
60.0,897.0
60.0,837.0
60.0,831.0
60.0,825.0
60.0,693.0
60.0,687.0
60.0,681.0
60.0,675.0
60.0,669.0
60.0,663.0
60.0,645.0
60.0,639.0
60.0,633.0
60.0,627.0
60.0,621.0
60.0,615.0
60.0,609.0
60.0,603.0
60.0,597.0
60.0,591.0
60.0,585.0
63.0,1026.0
63.0,1020.0
63.0,1014.0
63.0,990.0
63.0,984.0
63.0,978.0
63.0,972.0
63.0,966.0
63.0,690.0
63.0,684.0
63.0,678.0
63.0,672.0
63.0,666.0
63.0,660.0
63.0,654.0
63.0,648.0
63.0,642.0
63.0,636.0
63.0,630.0
63.0,624.0
63.0,618.0
63.0,612.0
63.0,606.0
63.0,600.0
63.0,594.0
63.0,588.0
63.0,282.0
66.0,1515.0
66.0,1509.0
66.0,1179.0
66.0,1173.0
66.0,1167.0
66.0,1041.0
66.0,1035.0
66.0,1017.0
66.0,1011.0
66.0,1005.0
66.0,909.0
66.0,903.0
66.0,897.0
66.0,837.0
66.0,831.0
66.0,825.0
66.0,693.0
66.0,687.0
66.0,681.0
66.0,675.0
66.0,669.0
66.0,663.0
66.0,657.0
66.0,651.0
66.0,645.0
66.0,639.0
66.0,633.0
66.0,627.0
66.0,621.0
66.0,615.0
66.0,609.0
66.0,603.0
66.0,597.0
66.0,591.0
69.0,1056.0
69.0,1050.0
69.0,1044.0
69.0,1038.0
69.0,1032.0
69.0,996.0
69.0,990.0
69.0,984.0
69.0,978.0
69.0,972.0
69.0,966.0
69.0,960.0
69.0,954.0
69.0,948.0
69.0,690.0
69.0,684.0
69.0,678.0
69.0,672.0
69.0,666.0
69.0,660.0
69.0,654.0
69.0,648.0
69.0,642.0
69.0,636.0
69.0,630.0
69.0,624.0
69.0,618.0
69.0,612.0
69.0,606.0
69.0,600.0
69.0,594.0
72.0,1521.0
72.0,1515.0
72.0,1509.0
72.0,1197.0
72.0,1191.0
72.0,1185.0
72.0,1179.0
72.0,1173.0
72.0,1167.0
72.0,1065.0
72.0,1059.0
72.0,1041.0
72.0,1035.0
72.0,1029.0
72.0,1017.0
72.0,1011.0
72.0,1005.0
72.0,909.0
72.0,903.0
72.0,897.0
72.0,837.0
72.0,831.0
72.0,825.0
72.0,693.0
72.0,687.0
72.0,681.0
72.0,675.0
72.0,669.0
72.0,663.0
72.0,657.0
72.0,651.0
72.0,645.0
72.0,639.0
72.0,633.0
72.0,627.0
72.0,621.0
72.0,615.0
72.0,609.0
72.0,603.0
72.0,597.0
72.0,591.0
72.0,39.0
72.0,33.0
75.0,1068.0
75.0,1062.0
75.0,1056.0
75.0,1050.0
75.0,1044.0
75.0,1038.0
75.0,1032.0
75.0,1026.0
75.0,1020.0
75.0,1002.0
75.0,996.0
75.0,990.0
75.0,984.0
75.0,978.0
75.0,972.0
75.0,966.0
75.0,960.0
75.0,954.0
75.0,948.0
75.0,696.0
75.0,690.0
75.0,684.0
75.0,672.0
75.0,666.0
75.0,660.0
75.0,648.0
75.0,642.0
75.0,636.0
75.0,630.0
75.0,624.0
75.0,618.0
75.0,612.0
75.0,606.0
75.0,600.0
78.0,1521.0
78.0,1515.0
78.0,1509.0
78.0,1503.0
78.0,1497.0
78.0,1491.0
78.0,1197.0
78.0,1191.0
78.0,1185.0
78.0,1179.0
78.0,1173.0
78.0,1167.0
78.0,1161.0
78.0,1071.0
78.0,1065.0
78.0,1059.0
78.0,1041.0
78.0,1035.0
78.0,1029.0
78.0,1023.0
78.0,1017.0
78.0,1005.0
78.0,921.0
78.0,915.0
78.0,909.0
78.0,903.0
78.0,897.0
78.0,891.0
78.0,885.0
78.0,879.0
78.0,837.0
78.0,831.0
78.0,825.0
78.0,699.0
78.0,693.0
78.0,687.0
78.0,681.0
78.0,675.0
78.0,669.0
78.0,663.0
78.0,645.0
78.0,639.0
78.0,633.0
78.0,627.0
78.0,621.0
78.0,615.0
78.0,609.0
78.0,603.0
78.0,597.0
78.0,591.0
78.0,39.0
78.0,33.0
81.0,1092.0
81.0,1086.0
81.0,1080.0
81.0,1074.0
81.0,1068.0
81.0,1062.0
81.0,1056.0
81.0,1050.0
81.0,1044.0
81.0,1038.0
81.0,1032.0
81.0,1026.0
81.0,1020.0
81.0,1002.0
81.0,996.0
81.0,990.0
81.0,984.0
81.0,978.0
81.0,726.0
81.0,720.0
81.0,714.0
81.0,708.0
81.0,702.0
81.0,696.0
81.0,690.0
81.0,684.0
81.0,678.0
81.0,672.0
81.0,660.0
81.0,654.0
81.0,642.0
81.0,636.0
81.0,630.0
81.0,624.0
81.0,618.0
81.0,612.0
81.0,318.0
81.0,312.0
84.0,1521.0
84.0,1515.0
84.0,1509.0
84.0,1503.0
84.0,1497.0
84.0,1491.0
84.0,1197.0
84.0,1191.0
84.0,1185.0
84.0,1179.0
84.0,1173.0
84.0,1167.0
84.0,1161.0
84.0,1149.0
84.0,1095.0
84.0,1083.0
84.0,1077.0
